Title,Description,Labels,Priority,Project
Club Penguin World: Issue tracking baseline,"Create issue tracking baseline for Club Penguin World. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/clubpenguin-world",3,games.aiandsons.io
Audio Agar: Issue tracking baseline,"Create issue tracking baseline for Audio Agar. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/audioagar",3,games.aiandsons.io
2048: Issue tracking baseline,"Create issue tracking baseline for 2048. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/2048",3,games.aiandsons.io
Pong: Issue tracking baseline,"Create issue tracking baseline for Pong. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pong",3,games.aiandsons.io
Air Hockey: Issue tracking baseline,"Create issue tracking baseline for Air Hockey. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/airhockey",3,games.aiandsons.io
Skee-Ball: Issue tracking baseline,"Create issue tracking baseline for Skee-Ball. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/skeeball",3,games.aiandsons.io
Pocket Pool: Issue tracking baseline,"Create issue tracking baseline for Pocket Pool. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pool",3,games.aiandsons.io
Plinko Drop: Issue tracking baseline,"Create issue tracking baseline for Plinko Drop. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/plinko",3,games.aiandsons.io
Darts 301: Issue tracking baseline,"Create issue tracking baseline for Darts 301. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/darts",3,games.aiandsons.io
Snake: Issue tracking baseline,"Create issue tracking baseline for Snake. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/snake",3,games.aiandsons.io
Tic-Tac-Toe: Issue tracking baseline,"Create issue tracking baseline for Tic-Tac-Toe. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tictactoe",3,games.aiandsons.io
Rock Paper Scissors: Issue tracking baseline,"Create issue tracking baseline for Rock Paper Scissors. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/rps",3,games.aiandsons.io
Prisoner's Dilemma Lab: Issue tracking baseline,"Create issue tracking baseline for Prisoner's Dilemma Lab. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/prisonersdilemma",3,games.aiandsons.io
Memory: Issue tracking baseline,"Create issue tracking baseline for Memory. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/memory",3,games.aiandsons.io
Hangman: Issue tracking baseline,"Create issue tracking baseline for Hangman. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/hangman",3,games.aiandsons.io
Breakout: Issue tracking baseline,"Create issue tracking baseline for Breakout. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/breakout",3,games.aiandsons.io
Connect 4: Issue tracking baseline,"Create issue tracking baseline for Connect 4. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/connect4",3,games.aiandsons.io
Minesweeper: Issue tracking baseline,"Create issue tracking baseline for Minesweeper. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/minesweeper",3,games.aiandsons.io
